Longitude,Latitude,osm_id,source,capacitype,operatorty,building,amenity,addrcity,addrfull,name
44.511933,40.161071,1432874056,,,,,school,,,Վահան Տերյանի անվան թիվ 60 դպրոց
44.5125645,40.1853645,1444510838,,,,,school,,,Շահումյանի անվան թիվ 1 դպրոց
44.5224072,40.1540402,1446278922,,,,,school,,,№17 ՀԻՄՆԱԿԱՆ ԴՊՐՈՑ ՎՐԵԺ ՀԱՄԲԱՐՁՈՒՄՅԱՆԻ ԱՆՎԱՆ
44.5289031,40.1805474,1456826027,,,,,school,,,Ջ. Կիրակոսյանի անվան թիվ 20 հիմնական դպրոց
44.4619609,40.1858426,1459218462,,,,,school,,,Դանիել Վարուժանի անվան թիվ 89 դպրոց
44.5415476,40.1417683,1487489084,,,,,school,Վարդաշեն,,ԵՐԵՎԱՆԻ ԹԻՎ 64 ՀԻՄՆԱԿԱՆ ԴՊՐՈՑ
44.5003887,40.1927932,1537975958,,,,,school,,,ԱՐԳԵՆՏԻՆՅԱՆ ՀԱՆՐԱՊԵՏՈՒԹՅՈՒՆ» ԵՐԵՎԱՆԻ №76 ՀԻՄՆԱԿԱՆ ԴՊՐՈՑ
44.4847144,40.1557967,1538314690,,,,,kindergarten,Երևան,,
43.9624912,40.6203275,1580688777,,,,,school,,,Թիվ 3 դպրոց
44.7245775,39.913839,1626577439,,,,,school,,,գեղարվեստի դպրոց
45.4578187,39.6938878,1631202247,,,,,school,,,Վայքի թիվ 1 դպրոց
45.4566063,39.6935658,1631226357,,,,,kindergarten,,,Kindergarten
46.0233247,39.5235711,1632503620,,,,,school,,,Երաժշտական դպրոց
46.0229171,39.523869,1632503623,,,,,school,,,Շախմատի դպրոց
46.0229026,39.524371,1639411777,,,,,school,,,"Fine Arts, named after Z.A. Khachatryan"
46.0213879,39.5192122,1639411879,,,,,school,,,Sisian Youth sport school
44.4919252,40.2040024,1640342014,,,,,school,,,Դպրոց 145
46.0176095,39.5195333,1654912910,,,,,kindergarten,,,Kindergarten N4
46.037465,39.5198927,1654939134,,,,,kindergarten,,,Kindergarten N2
46.0205778,39.517327,1654949732,,,,,kindergarten,,,Kindergarten N3
46.016775,39.5217988,1656300591,,,,,school,,,School N5
44.472456,40.1501081,1742689260,,,,,school,,,Դ. Դեմիրճյանի անվ. թիվ 27 դպրոց
44.4652301,40.1453778,1742696429,,,,,school,Երևան,,Մ. Գորգիսյանի անվ. N158 դպրոց
43.9705764,40.6146379,1815104707,,,,,school,,,Թիվ 2 hիմնական դպրոց
44.4911548,40.8080966,1827175016,,,,,school,,,School No 1 AFT Vazgen Arajin
44.4890713,40.8037817,1827175550,,,,,school,,,ԹԻՎ 22 ԴՊՐՈՑ ՍՏԵՓԱՆ ԶՈՐՅԱՆԻ ԱՆՎԱՆ
44.4729655,40.2072407,1859791313,,,,,school,Երևան,,School No. 109
44.473813,40.2076053,1859791318,,,,,school,Երևան,,School No. 138
44.1374336,40.6376319,1876314161,,,,,school,,,Հնաբերդի դպրոց
44.595986,40.1872604,1885381338,,,,,kindergarten,,,Մանկապարտեզ թիվ 10
44.5957526,40.1858486,1885381357,,,,,school,Երևան,,Նորայր Շահվերդյանի անվ. N187 դպրոց
44.6815595,39.8957057,1904439808,,,,,school,,,Վանաշենի դպրոց
43.8393053,40.7836123,1915487216,,,,,school,,,Թիվ 6 դպրոց
45.1468033,39.7654194,1918893506,,,,,school,,,
45.0388541,39.8187377,1962412363,,,,,kindergarten,,,
45.0383675,39.8195817,1962412485,,,,,school,,,
44.4745709,40.8133195,1976801790,,,,,school,,,Chess School
44.5655415,40.1863482,1977002572,,,,,kindergarten,,,Մանկապարտեզ 3
44.5273742,40.18994,1978951460,,,,,university,,,
43.8607137,40.3437832,1981677126,,,,,school,,,
44.6245983,41.0926941,2016696036,,,,,school,,,Ակոռիի դպրոց
45.1450255,41.0342216,2026714191,,,,,school,,,Սարիգյուղի դպրոց
45.1549695,40.9897989,2028390442,,,,,school,,,Աչաջուրի դպրոց
46.3582275,39.4795046,2135450237,,,,,school,,,
44.5351615,40.1600347,2234097865,,,,,school,,,Դպրոց թիվ 167
44.5262502,40.1634453,2234097866,,,,,school,,,School no 47
44.5279909,40.1581094,2234097870,,,,,school,Երևան,,School no 70
45.641785,40.0996183,2235680141,,,,,school,,,Akhpradzor school
44.4696943,40.2070821,2240040879,,,,,kindergarten,Երևան,,Kindergarden No. 35
44.4714296,40.2052151,2240040882,,,,,kindergarten,Երևան,,Kindergarten No. 39
44.474301,40.2029357,2240040888,,,,,kindergarten,,,Kindergarten No 225
44.4788325,40.2045047,2240040896,,,,,school,,,Թիվ 100 Դպրոց
44.4646386,40.2034711,2240040901,,,,,school,Երևան,,Թիվ 156 Դպրոց
44.4777063,40.1496943,2240175987,,,,,kindergarten,,,Թիվ 146 Մանկապարտեզ
46.3297075,39.5213311,2245334259,,,,,kindergarten,,,Kindergarden no 6
46.3290234,39.5215706,2245334273,,,,,school,,,Youry Bakhshinyan school no 3
44.5229588,40.3539209,2256019360,,,,,school,,,Zoravan School
44.6935889,40.2078921,2261145178,,,,,school,,,
44.7289088,40.2336407,2261145778,,,,,school,,,Գեղաշենի Միջնակարգ դպրոց
44.4838423,40.8121509,2265581177,,,,,school,,,Հ. Թումանյանի անվ. N 3 դպր.
44.3540844,40.5917911,2266660855,,,,,school,,,
44.5622774,40.2017647,2267656946,,,,,kindergarten,,,Kindergarden No 251
44.5672574,40.2104312,2268258128,,,,,school,,,Երևանի թիվ 87 միջնակարգ դպրոց
44.5693461,40.2093633,2268258132,,,,,school,,,Երևանի թիվ 96 դպրոց
44.5062495,40.1824663,2269341279,,,,,university,,,Երևանի թատրոնի և կինոյի պետական ինստիտուտ
44.5052944,40.183538,2269341355,,,,,school,,,
44.5297124,40.1452491,2275103668,,,,,school,,,
44.5211727,40.210733,2278431339,,,,,school,,,
44.5025047,40.1779797,2278925787,,,,,school,,,24
44.5039276,40.1799518,2278925788,,,,,school,Երևան,,Տարաս Շևչենկոյի անվան թիվ 42 ավագ դպրոց
44.5090574,40.1796305,2278925789,,,,,school,,,Թիվ 67 Դպրոց Չարենցի անվան
44.4641238,40.1668675,2279163081,,,,,school,,,
44.5349029,40.2206879,2281101901,,,,,kindergarten,,,
44.5299426,40.2026678,2283528747,,,,,university,Երևան,,Եվրոպական կրթական տարածաշրջանային ակադեմիա
44.6815406,40.1082353,2283826888,,,,,kindergarten,,,
44.6815245,40.1080466,2283826895,,,,,school,,,Garni Banavan's elementary school
44.5404261,40.186096,2300185536,,,,,kindergarten,,,School No 53
44.5439573,40.1837072,2300185672,,,,,school,,,№26 Միջնակարգ դպրոց
44.5402703,40.1800606,2300185673,,,,,school,,,ԵՐԵՎԱՆԻ №61 ՀԻՄՆԱԿԱՆ ԴՊՐՈՑ ԳԵՎՈՐԳ ԱԹԱՐԲԵԿՅԱՆԻ ԱՆՎԱՆ
44.5398837,40.2002617,2300206083,,,,,school,,,Սարյանի անվան արվեստի դպրոց
